,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
57,13813413,79816163,Private room,NA,III Municipio,1,0,1,1,42,NA,41.909955,12.521841,06:35.7
58,16818179,1561023,Entire home/apt,NA,I Municipio,0,0,2,1,111,NA,41.887632,12.496441,45:59.4
59,4132672,18189251,Private room,NA,XVI Municipio,2,0,1,3,37,NA,41.872375,12.442042,47:42.8
60,5152482,26197650,Entire home/apt,NA,I Municipio,34,4.5,4,1,100,NA,41.886972,12.501129,16:33.6
61,13001101,1988250,Private room,NA,I Municipio,1,0,2,1,59,NA,41.882735,12.498401,22:04.6
62,2372375,12119380,Entire home/apt,NA,XVIII Municipio,43,4.5,6,3,78,NA,41.897664,12.441866,02:21.1
63,14675973,91172531,Entire home/apt,NA,I Municipio,25,4.5,4,1,111,NA,41.895403,12.491937,42:23.4
64,16837967,112083901,Entire home/apt,NA,XX Municipio,0,0,4,1,89,NA,42.022212,12.466923,25:20.0
65,14811894,82447393,Entire home/apt,NA,I Municipio,0,0,4,1,219,NA,41.886273,12.476137,01:33.2
66,9573312,3908853,Private room,NA,XVII Municipio,1,0,2,1,56,NA,41.908818,12.454469,13:00.7
67,15718280,5345069,Private room,NA,XVII Municipio,0,0,4,1,99,NA,41.910665,12.460654,17:38.8
68,10201935,52410157,Entire home/apt,NA,I Municipio,13,5,5,2,166,NA,41.898876,12.468823,14:31.5
69,8804957,45271017,Private room,NA,IX Municipio,1,0,4,1,111,NA,41.882686,12.512252,00:59.4
70,11674133,8862927,Entire home/apt,NA,I Municipio,3,5,10,5,200,NA,41.884607,12.500768,49:24.4
71,11176964,26628650,Entire home/apt,NA,XVI Municipio,1,0,2,1,67,NA,41.873238,12.459388,48:19.4
72,11543817,60491030,Entire home/apt,NA,VII Municipio,0,0,1,3,234,NA,41.873335,12.560323,58:01.1
73,15318064,3095348,Entire home/apt,NA,XVII Municipio,17,5,6,2,105,NA,41.911427,12.455349,43:08.9
74,4109491,13094636,Entire home/apt,NA,V Municipio,2,0,6,2,39,NA,41.910795,12.574949,55:22.4
75,17493855,12903961,Private room,NA,XVI Municipio,1,0,8,4,50,NA,41.88114,12.464749,13:55.7
76,13108658,72868002,Entire home/apt,NA,I Municipio,0,0,6,3,123,NA,41.900102,12.491039,50:38.4
77,9150889,37027348,Entire home/apt,NA,XVI Municipio,23,4.5,3,1,50,NA,41.878686,12.453254,57:28.2
78,14561600,79534912,Private room,NA,I Municipio,23,5,2,1,67,NA,41.89051,12.469743,36:02.1
79,15129210,81515517,Entire home/apt,NA,XIX Municipio,0,0,6,2,56,NA,41.958591,12.411677,12:14.8
80,14277563,86452706,Entire home/apt,NA,XVII Municipio,1,0,8,3,144,NA,41.907982,12.446206,45:24.1
81,15425397,46705981,Private room,NA,I Municipio,4,4.5,2,1,44,NA,41.8796,12.477658,13:57.1
82,13893665,36680063,Private room,NA,V Municipio,15,4,2,1,33,NA,41.89895,12.543677,10:23.2
83,5449324,105468614,Private room,NA,II Municipio,2,0,2,1,78,NA,41.9307,12.468576,37:21.8
